cake,ingredient,measure_amount,measure
Angel,Almond essence,0.25,teaspoon
Angel,Buttermilk,NA,cup
Angel,Baking powder,NA,teaspoon
Angel,Butter,NA,cup
Angel,Bananas,NA,one
Angel,Cocoa,NA,tablespoon
Angel,Cottage Cheese,NA,pound
Angel,Chocolate,NA,ounce
Angel,Crushed Ice,NA,cup
Angel,Crumbs,NA,cup
Angel,Cream of tartar,1.25,teaspoon
Angel,Dried currants,NA,tablespoon
Angel,Eggs,NA,one
Angel,Egg yolk,NA,one
Angel,Egg white,10,one
Angel,Sifted flour,1,cup
Angel,Gelatin,NA,tablespoon
Angel,Heavy cream,NA,cup
Angel,Lemon juice,NA,tablespoon
Angel,Lemon rind,NA,teaspoon
Angel,Milk,NA,cup
Angel,Nutmeg,NA,teaspoon
Angel,Nuts,NA,cup
Angel,Rum,NA,ounce
Angel,Soda,NA,teaspoon
Angel,Sour cream cup,NA,NA
Angel,Shortening,NA,tablespoon
Angel,Granulated sugar,1.5,cup
Angel,Strawberries,NA,quart
Angel,Salt,0.25,teaspoon
Angel,Vanilla extract,1,teaspoon
Angel,Water,NA,cup
Angel,Yeast,NA,ounce
Angel,Zwiebach,NA,ounce
Babas au Rhum,Almond essence,NA,teaspoon
Babas au Rhum,Buttermilk,NA,cup
Babas au Rhum,Baking powder,NA,teaspoon
Babas au Rhum,Butter,0.25,cup
Babas au Rhum,Bananas,NA,one
Babas au Rhum,Cocoa,NA,tablespoon
Babas au Rhum,Cottage Cheese,NA,pound
Babas au Rhum,Chocolate,NA,ounce
Babas au Rhum,Crushed Ice,NA,cup
Babas au Rhum,Crumbs,NA,cup
Babas au Rhum,Cream of tartar,NA,teaspoon
Babas au Rhum,Dried currants,3,tablespoon
Babas au Rhum,Eggs,1,one
Babas au Rhum,Egg yolk,2,one
Babas au Rhum,Egg white,NA,one
Babas au Rhum,Sifted flour,1.75,cup
Babas au Rhum,Gelatin,NA,tablespoon
Babas au Rhum,Heavy cream,NA,cup
Babas au Rhum,Lemon juice,NA,tablespoon
Babas au Rhum,Lemon rind,0.5,teaspoon
Babas au Rhum,Milk,0.25,cup
Babas au Rhum,Nutmeg,NA,teaspoon
Babas au Rhum,Nuts,NA,cup
Babas au Rhum,Rum,2,ounce
Babas au Rhum,Soda,NA,teaspoon
Babas au Rhum,Sour cream cup,NA,NA
Babas au Rhum,Shortening,NA,tablespoon
Babas au Rhum,Granulated sugar,0.25,cup
Babas au Rhum,Strawberries,NA,quart
Babas au Rhum,Salt,NA,teaspoon
Babas au Rhum,Vanilla extract,NA,teaspoon
Babas au Rhum,Water,0.25,cup
Babas au Rhum,Yeast,0.6,ounce
Babas au Rhum,Zwiebach,NA,ounce
Sweet Chocolate,Almond essence,NA,teaspoon
Sweet Chocolate,Buttermilk,NA,cup
Sweet Chocolate,Baking powder,NA,teaspoon
Sweet Chocolate,Butter,1,cup
Sweet Chocolate,Bananas,NA,one
Sweet Chocolate,Cocoa,NA,tablespoon
Sweet Chocolate,Cottage Cheese,NA,pound
Sweet Chocolate,Chocolate,4,ounce
Sweet Chocolate,Crushed Ice,NA,cup
Sweet Chocolate,Crumbs,NA,cup
Sweet Chocolate,Cream of tartar,NA,teaspoon
Sweet Chocolate,Dried currants,NA,tablespoon
Sweet Chocolate,Eggs,4,one
Sweet Chocolate,Egg yolk,NA,one
Sweet Chocolate,Egg white,NA,one
Sweet Chocolate,Sifted flour,2.5,cup
Sweet Chocolate,Gelatin,NA,tablespoon
Sweet Chocolate,Heavy cream,NA,cup
Sweet Chocolate,Lemon juice,NA,tablespoon
Sweet Chocolate,Lemon rind,NA,teaspoon
Sweet Chocolate,Milk,1,cup
Sweet Chocolate,Nutmeg,NA,teaspoon
Sweet Chocolate,Nuts,NA,cup
Sweet Chocolate,Rum,NA,ounce
Sweet Chocolate,Soda,1,teaspoon
Sweet Chocolate,Sour cream cup,NA,NA
Sweet Chocolate,Shortening,NA,tablespoon
Sweet Chocolate,Granulated sugar,2,cup
Sweet Chocolate,Strawberries,NA,quart
Sweet Chocolate,Salt,0.5,teaspoon
Sweet Chocolate,Vanilla extract,1,teaspoon
Sweet Chocolate,Water,0.5,cup
Sweet Chocolate,Yeast,NA,ounce
Sweet Chocolate,Zwiebach,NA,ounce
Buche de Noel,Almond essence,NA,teaspoon
Buche de Noel,Buttermilk,NA,cup
Buche de Noel,Baking powder,NA,teaspoon
Buche de Noel,Butter,NA,cup
Buche de Noel,Bananas,NA,one
Buche de Noel,Cocoa,NA,tablespoon
Buche de Noel,Cottage Cheese,NA,pound
Buche de Noel,Chocolate,NA,ounce
Buche de Noel,Crushed Ice,NA,cup
Buche de Noel,Crumbs,NA,cup
Buche de Noel,Cream of tartar,NA,teaspoon
Buche de Noel,Dried currants,NA,tablespoon
Buche de Noel,Eggs,4,one
Buche de Noel,Egg yolk,NA,one
Buche de Noel,Egg white,NA,one
Buche de Noel,Sifted flour,1,cup
Buche de Noel,Gelatin,NA,tablespoon
Buche de Noel,Heavy cream,NA,cup
Buche de Noel,Lemon juice,NA,tablespoon
Buche de Noel,Lemon rind,NA,teaspoon
Buche de Noel,Milk,NA,cup
Buche de Noel,Nutmeg,NA,teaspoon
Buche de Noel,Nuts,NA,cup
Buche de Noel,Rum,NA,ounce
Buche de Noel,Soda,NA,teaspoon
Buche de Noel,Sour cream cup,NA,NA
Buche de Noel,Shortening,NA,tablespoon
Buche de Noel,Granulated sugar,1.3,cup
Buche de Noel,Strawberries,NA,quart
Buche de Noel,Salt,0.5,teaspoon
Buche de Noel,Vanilla extract,1,teaspoon
Buche de Noel,Water,NA,cup
Buche de Noel,Yeast,NA,ounce
Buche de Noel,Zwiebach,NA,ounce
Cheesecake,Almond essence,NA,teaspoon
Cheesecake,Buttermilk,NA,cup
Cheesecake,Baking powder,NA,teaspoon
Cheesecake,Butter,0.25,cup
Cheesecake,Bananas,NA,one
Cheesecake,Cocoa,NA,tablespoon
Cheesecake,Cottage Cheese,1.5,pound
Cheesecake,Chocolate,NA,ounce
Cheesecake,Crushed Ice,NA,cup
Cheesecake,Crumbs,NA,cup
Cheesecake,Cream of tartar,NA,teaspoon
Cheesecake,Dried currants,NA,tablespoon
Cheesecake,Eggs,6,one
Cheesecake,Egg yolk,NA,one
Cheesecake,Egg white,NA,one
Cheesecake,Sifted flour,0.25,cup
Cheesecake,Gelatin,NA,tablespoon
Cheesecake,Heavy cream,NA,cup
Cheesecake,Lemon juice,1,tablespoon
Cheesecake,Lemon rind,1,teaspoon
Cheesecake,Milk,NA,cup
Cheesecake,Nutmeg,NA,teaspoon
Cheesecake,Nuts,NA,cup
Cheesecake,Rum,NA,ounce
Cheesecake,Soda,NA,teaspoon
Cheesecake,Sour cream cup,1,NA
Cheesecake,Shortening,NA,tablespoon
Cheesecake,Granulated sugar,1,cup
Cheesecake,Strawberries,NA,quart
Cheesecake,Salt,0.25,teaspoon
Cheesecake,Vanilla extract,NA,teaspoon
Cheesecake,Water,NA,cup
Cheesecake,Yeast,NA,ounce
Cheesecake,Zwiebach,6,ounce
