record_id,species,count,lat,long
1083001,Royal / Wandering albatross,6,-45.916666666666664,165.4
1083001,Black-browed albatross,2,-45.916666666666664,165.4
1083001,Cape petrel,8,-45.916666666666664,165.4
1083001,Fairy prion,2,-45.916666666666664,165.4
1083001,Sooty shearwater,4,-45.916666666666664,165.4
1084001,Royal albatross,10,-35.53333333333333,125
1084001,Black-browed albatross,2,-35.53333333333333,125
1084001,Sooty shearwater,18,-35.53333333333333,125
1084002,Royal albatross,10,-37.666666666666664,132.25
1084002,Black-browed albatross,2,-37.666666666666664,132.25
1084002,Cape petrel,2,-37.666666666666664,132.25
1084002,Prion (unidentified),2,-37.666666666666664,132.25
1084002,Sooty shearwater,8,-37.666666666666664,132.25
1084002,Seabird (Unidentified),1,-37.666666666666664,132.25
1084003,Royal albatross,14,-40,162
1084003,Black-browed albatross,4,-40,162
1084003,Giant petrel,3,-40,162
1084003,Cape petrel,8,-40,162
1084003,Fairy prion,18,-40,162
1086001,Fairy prion,6,-36.166666666666664,174.91666666666666
1086001,Black petrel,55,-36.166666666666664,174.91666666666666
1086001,Australasian gannet,12,-36.166666666666664,174.91666666666666
1086002,Wilson's storm petrel,22,-35.416666666666664,174.56666666666666
1086002,Australasian gannet,7,-35.416666666666664,174.56666666666666
1086003,Wandering albatross,4,-35.25,168
1086003,Wandering albatross,2,-35.25,168
1086003,Royal albatross,3,-35.25,168
1086003,Northern giant petrel,3,-35.25,168
1086003,White-chinned petrel,1,-35.25,168
1086003,Sooty shearwater,1,-35.25,168
1086004,Wandering albatross,4,-35.3,167.33333333333334
1086004,Wandering albatross,2,-35.3,167.33333333333334
1086004,Royal albatross,3,-35.3,167.33333333333334
1086004,Northern giant petrel,1,-35.3,167.33333333333334
1086004,White-chinned petrel,1,-35.3,167.33333333333334
1086005,Wandering albatross,3,-36.5,161
1086005,Wandering albatross,4,-36.5,161
1086005,Northern royal albatross,2,-36.5,161
1086005,Royal albatross,4,-36.5,161
1086005,White-chinned petrel,2,-36.5,161
1086005,Petrel (unidentified),2,-36.5,161
1086006,Wandering albatross,1,-36.333333333333336,160.5
1086006,Royal albatross,3,-36.333333333333336,160.5
1086007,Royal albatross,1,-39.18333333333333,146.28333333333333
1086007,Sooty shearwater,1,-39.18333333333333,146.28333333333333
1086007,Australasian gannet,1,-39.18333333333333,146.28333333333333
1087001,[NO BIRDS RECORDED],NA,NA,NA
1087002,Wandering albatross,3,-39.666666666666664,154.16666666666666
1087002,Royal albatross,2,-39.666666666666664,154.16666666666666
1087002,Black-browed albatross,3,-39.666666666666664,154.16666666666666
1087002,White-chinned petrel,3,-39.666666666666664,154.16666666666666
1087003,Wandering albatross,3,-39.666666666666664,155
1087003,Royal albatross,2,-39.666666666666664,155
1087003,Black-browed albatross,3,-39.666666666666664,155
1087003,White-chinned petrel,6,-39.666666666666664,155
1087003,Sooty shearwater,48,-39.666666666666664,155
1087003,Diving-petrel (unidentified),1,-39.666666666666664,155
1087004,Wandering albatross,3,-39.85,161.93333333333334
1087004,Royal albatross,2,-39.85,161.93333333333334
1087004,Black-browed albatross,3,-39.85,161.93333333333334
1087005,Wandering albatross,3,-39.93333333333333,162.08333333333334
1087005,Royal albatross,2,-39.93333333333333,162.08333333333334
1087005,Black-browed albatross,3,-39.93333333333333,162.08333333333334
1087006,Wandering albatross,3,-40,164
1087006,Royal albatross,2,-40,164
1087006,Black-browed albatross,3,-40,164
1087007,Diving-petrel (unidentified),2,-40,NA
1087008,Wandering albatross,1,-40.1,167.5
1087008,Wandering albatross,1,-40.1,167.5
1087008,Southern royal albatross,2,-40.1,167.5
1087008,Southern royal albatross,3,-40.1,167.5
1087008,Cape petrel,4,-40.1,167.5
1087008,Broad-billed prion,48,-40.1,167.5
1087009,Wandering albatross,1,-40.166666666666664,168.66666666666666
1087009,Royal albatross,1,-40.166666666666664,168.66666666666666
1087009,Fairy prion,4,-40.166666666666664,168.66666666666666
1087009,Buller's shearwater,4,-40.166666666666664,168.66666666666666
1087009,Sooty shearwater,2,-40.166666666666664,168.66666666666666
1087009,Broad-billed prion,32,-40.166666666666664,168.66666666666666
1087010,Wandering albatross,2,-40.2,169.08333333333334
1087010,Buller's shearwater,2,-40.2,169.08333333333334
1087010,Skua (unidentified),1,-40.2,169.08333333333334
1087011,Wandering albatross,2,-40.21666666666667,169.5
1087011,Cape petrel,3,-40.21666666666667,169.5
1087011,Buller's shearwater,15,-40.21666666666667,169.5
1087011,Sooty shearwater,2,-40.21666666666667,169.5
1087011,Australasian gannet,2,-40.21666666666667,169.5
1088001,Wandering albatross,6,-33,152
1088001,Black-browed albatross,1,-33,152
1088001,Cape petrel,5,-33,152
1088001,Flesh-footed shearwater,1,-33,152
1088001,Subantarctic skua,1,-33,152
1088002,Wedge-tailed shearwater,40,-33,152
1088002,Black-winged petrel,2,-33,152
1088003,Wandering albatross,7,-34,152
1088003,Black-browed albatross,1,-34,152
1088003,Black-browed albatross,1,-34,152
1088003,Cape petrel,3,-34,152
1088003,Pomarine skua,2,-34,152
1088004,Wandering albatross,1,-35,154
1088004,Wandering albatross,5,-35,154
1088004,Black-browed albatross,5,-35,154
1088004,Giant petrel,1,-35,154
1088004,Cape petrel,4,-35,154
1088004,Shearwater (unidentified),2,-35,154
1088005,Wandering albatross,4,-36,154
1088005,Black-browed albatross,7,-36,154
1088005,Black-browed albatross,5,-36,154
1088005,Cape petrel,3,-36,154
1088005,Sooty shearwater,2,-36,154
1088006,Wandering albatross,4,-37,157
1088006,Black-browed albatross,5,-37,157
1088006,Black-browed albatross,1,-37,157
1088006,Giant petrel,1,-37,157
1088006,Cape petrel,2,-37,157
1088007,Wandering albatross,7,-39,158
1088007,Cape petrel,1,-39,158
1088007,Sooty shearwater,4,-39,158
1088008,Wandering albatross,6,-40,158
1088008,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-40,158
1088008,Cape petrel,6,-40,158
1088008,Prion (unidentified),5,-40,158
1088008,Sooty shearwater,26,-40,158
1088008,Black-bellied storm petrel,5,-40,158
1088008,Tern (unidentified),1,-40,158
1088009,Shearwater (unidentified),100,-40,159
1088010,Wandering albatross,11,-40,159
1088010,Cape petrel,4,-40,159
1088010,Grey-faced petrel,1,-40,159
1088010,White-headed petrel,1,-40,159
1088010,Prion (unidentified),1,-40,159
1088010,Sooty shearwater,32,-40,159
1088010,White-bellied storm petrel,4,-40,159
1088011,Wandering albatross,11,-41,160
1088011,Giant petrel,2,-41,160
1088011,Cape petrel,5,-41,160
1088011,Prion (unidentified),100,-41,160
1088011,Shearwater (unidentified),8,-41,160
1088011,Black-winged petrel,1,-41,160
